source,target,value
inj_fires,N31,0.1801892
inj_mech_gun,N31,0.008481
inj_trans_road_2wheel,N32,0.0317506
inj_trans_road_pedest,N32,0.3164375
inj_suicide,N32,0.1224857
inj_mech_suffocate,N32,0.0824991
inj_foreign_eye,N32,1.514063
inj_animal_venom,N32,0.0378139
inj_homicide_knife,N32,0.0254227
inj_foreign_other,N32,302.7468
inj_trans_road_pedal,N32,0.0390211
inj_drowning,N32,0.0690595
inj_trans_road_other,N32,0.0235675
inj_homicide_other,N32,0.087329
inj_poisoning,N32,0.1203215
inj_othunintent,N32,0.5711747
inj_fires,N32,0.1669388
inj_animal_nonven,N32,0.0163477
inj_homicide_gun,N32,0.0033102
inj_mech_gun,N32,0.0030344
inj_trans_road_4wheel,N32,0.1109863
inj_falls,N32,0.2908178
inj_foreign_aspiration,N32,15.86383
inj_mech_other,N32,0.047308
inj_trans_other,N32,2.381297
inj_trans_other,N33,0.0033443
inj_animal_venom,N33,0.0004624
inj_othunintent,N33,0.0241526
inj_animal_nonven,N33,0.0008292
inj_suicide,N33,0.003844
inj_falls,N33,0.3162834
inj_homicide_gun,N33,0.0063669
inj_poisoning,N33,0.0236323
inj_fires,N33,0.006073
inj_homicide_other,N33,0.012253
inj_trans_road_pedal,N33,0.0633552
inj_trans_road_4wheel,N33,0.5726396
inj_mech_other,N33,0.0192631
inj_drowning,N33,0.0054746
inj_homicide_knife,N33,0.0024835
inj_foreign_eye,N33,0.0003984
inj_trans_road_pedest,N33,0.1524397
inj_foreign_other,N33,0.0005242
inj_trans_road_other,N33,0.0829741
inj_mech_suffocate,N33,0.0097236
inj_foreign_aspiration,N33,0.0035031
inj_mech_gun,N33,0.0133147
inj_trans_road_2wheel,N33,0.0559032
inj_poisoning,N34,0.09333
inj_trans_other,N34,0.0076433
inj_homicide_knife,N34,0.0357295
inj_trans_road_pedest,N34,1.454489
inj_mech_other,N34,3.999268
inj_fires,N34,3.41843
inj_homicide_gun,N34,0.0059965
inj_foreign_other,N34,0.0024151
inj_animal_nonven,N34,0.3834964
inj_animal_venom,N34,0.0005304
inj_mech_suffocate,N34,0.0554832
inj_trans_road_pedal,N34,0.6040978
inj_trans_road_other,N34,0.2355415
inj_mech_gun,N34,0.0346677
inj_foreign_eye,N34,0.0045421
inj_foreign_aspiration,N34,0.0006999
inj_trans_road_2wheel,N34,0.571226
inj_falls,N34,6.673525
inj_othunintent,N34,0.5035849
inj_homicide_other,N34,0.4252337
inj_trans_road_4wheel,N34,3.876868
inj_suicide,N34,0.0740417
inj_drowning,N34,0.0147514
inj_drowning,N35,11.61809
inj_mech_suffocate,N35,0.0409615
inj_mech_gun,N35,0.0001447
inj_homicide_gun,N35,0.0001058
inj_animal_nonven,N35,0.0024065
inj_foreign_other,N35,0.0169049
inj_mech_other,N35,0.0279878
inj_poisoning,N35,0.0327965
inj_othunintent,N35,0.4287229
inj_trans_road_pedal,N35,0.0042645
inj_suicide,N35,0.0694238
inj_trans_road_other,N35,0.0032179
inj_trans_road_4wheel,N35,0.1024501
inj_animal_venom,N35,0.0038359
inj_homicide_knife,N35,0.0014203
inj_falls,N35,0.0468233
inj_homicide_other,N35,0.0371632
inj_trans_road_2wheel,N35,0.0135828
inj_trans_other,N35,0.13786
inj_trans_road_pedest,N35,0.0569356
inj_fires,N35,0.2841621
inj_foreign_aspiration,N35,0.0687954
inj_trans_road_pedal,N36,0.0057376
inj_foreign_aspiration,N36,0.2562406
